사번,이름,부서,교육명,대상기간,이수기한,이수일,이수여부,이수시간
1001,영업직원1,영업팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-13,Y,3
1001,영업직원1,영업팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-09,Y,3
1001,영업직원1,영업팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-15,Y,3
1001,영업직원1,영업팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-19,Y,3
1001,영업직원1,영업팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-28,Y,3
1001,영업직원1,영업팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-07,Y,3
1001,영업직원1,영업팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1002,영업직원2,영업팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-22,Y,3
1002,영업직원2,영업팀,정기 안전보건교육,2025-Q2,2025-06-30,,N,0
1002,영업직원2,영업팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-13,Y,3
1002,영업직원2,영업팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-29,Y,3
1002,영업직원2,영업팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-24,Y,3
1002,영업직원2,영업팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-17,Y,3
1002,영업직원2,영업팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1003,영업직원3,영업팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-20,Y,3
1003,영업직원3,영업팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-13,Y,3
1003,영업직원3,영업팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-29,Y,3
1003,영업직원3,영업팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-10,Y,3
1003,영업직원3,영업팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-17,Y,3
1003,영업직원3,영업팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-28,Y,3
1003,영업직원3,영업팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1004,영업직원4,영업팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-12,Y,3
1004,영업직원4,영업팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-22,Y,3
1004,영업직원4,영업팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-15,Y,3
1004,영업직원4,영업팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-16,Y,3
1004,영업직원4,영업팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-14,Y,3
1004,영업직원4,영업팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-15,Y,3
1004,영업직원4,영업팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1004,영업직원4,영업팀,관리감독자 안전보건교육,2025,2025-12-31,2025-11-09,Y,16
1005,영업직원5,영업팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-10,Y,3
1005,영업직원5,영업팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-18,Y,3
1005,영업직원5,영업팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-22,Y,3
1005,영업직원5,영업팀,정기 안전보건교육,2025-Q4,2025-12-31,,N,0
1005,영업직원5,영업팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-11,Y,3
1005,영업직원5,영업팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-21,Y,3
1005,영업직원5,영업팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1006,개발직원1,개발팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-10,Y,3
1006,개발직원1,개발팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-07,Y,3
1006,개발직원1,개발팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-07,Y,3
1006,개발직원1,개발팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-13,Y,3
1006,개발직원1,개발팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-18,Y,3
1006,개발직원1,개발팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-12,Y,3
1006,개발직원1,개발팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1007,개발직원2,개발팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-17,Y,3
1007,개발직원2,개발팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-10,Y,3
1007,개발직원2,개발팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-17,Y,3
1007,개발직원2,개발팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-23,Y,3
1007,개발직원2,개발팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-16,Y,3
1007,개발직원2,개발팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-09,Y,3
1007,개발직원2,개발팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1008,개발직원3,개발팀,정기 안전보건교육,2025-Q1,2025-03-31,,N,0
1008,개발직원3,개발팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-10,Y,3
1008,개발직원3,개발팀,정기 안전보건교육,2025-Q3,2025-09-30,,N,0
1008,개발직원3,개발팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-13,Y,3
1008,개발직원3,개발팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-22,Y,3
1008,개발직원3,개발팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-12,Y,3
1008,개발직원3,개발팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1009,개발직원4,개발팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-20,Y,3
1009,개발직원4,개발팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-18,Y,3
1009,개발직원4,개발팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-25,Y,3
1009,개발직원4,개발팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-25,Y,3
1009,개발직원4,개발팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-17,Y,3
1009,개발직원4,개발팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-22,Y,3
1009,개발직원4,개발팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1009,개발직원4,개발팀,관리감독자 안전보건교육,2025,2025-12-31,2025-11-13,Y,16
1010,개발직원5,개발팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-13,Y,3
1010,개발직원5,개발팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-25,Y,3
1010,개발직원5,개발팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-18,Y,3
1010,개발직원5,개발팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-07,Y,3
1010,개발직원5,개발팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-13,Y,3
1010,개발직원5,개발팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-08,Y,3
1010,개발직원5,개발팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1011,경영직원1,경영지원팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-19,Y,3
1011,경영직원1,경영지원팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-23,Y,3
1011,경영직원1,경영지원팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-14,Y,3
1011,경영직원1,경영지원팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-28,Y,3
1011,경영직원1,경영지원팀,정기 안전보건교육,2026-Q1,2026-03-31,,N,0
1011,경영직원1,경영지원팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-07,Y,3
1011,경영직원1,경영지원팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1011,경영직원1,경영지원팀,관리감독자 안전보건교육,2025,2025-12-31,2025-11-05,Y,16
1012,경영직원2,경영지원팀,정기 안전보건교육,2025-Q1,2025-03-31,,N,0
1012,경영직원2,경영지원팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-11,Y,3
1012,경영직원2,경영지원팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-06,Y,3
1012,경영직원2,경영지원팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-29,Y,3
1012,경영직원2,경영지원팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-17,Y,3
1012,경영직원2,경영지원팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-28,Y,3
1012,경영직원2,경영지원팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1013,경영직원3,경영지원팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-16,Y,3
1013,경영직원3,경영지원팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-27,Y,3
1013,경영직원3,경영지원팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-25,Y,3
1013,경영직원3,경영지원팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-15,Y,3
1013,경영직원3,경영지원팀,정기 안전보건교육,2026-Q1,2026-03-31,,N,0
1013,경영직원3,경영지원팀,정기 안전보건교육,2026-Q2,2026-06-30,,N,0
1013,경영직원3,경영지원팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1014,경영직원4,경영지원팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-14,Y,3
